HJD mag emag
2455818.52390016 12.153 0.01
2456160.60001347 12.155 0.01
2456133.71639878 12.181 0.01
2456477.63061378 12.142 0.01
2456089.7007663 12.101 0.01
2455434.65834223 12.094 0.01
2456161.56627288 11.87 0.01
2456020.7677059 12.118 0.01
2455328.75649563 12.086 0.01
2456005.8355524 12.056 0.01
2457229.55223349 12.075 0.01
2456512.63053775 12.028 0.01
2456538.59069138 12.032 0.01
2456106.7700705 12.033 0.01
2456125.72347952 12.021 0.01
2456806.71366909 12.046 0.01
2457225.505621 12.024 0.01
2457273.56285804 12.015 0.01
